Date,Close
02-01-2017,14483.25
03-01-2017,14609.84961
04-01-2017,14681.25
05-01-2017,14876.15039
06-01-2017,14854.2002
09-01-2017,14873.4502
10-01-2017,14984.2998
11-01-2017,15159.75
12-01-2017,15192.90039
13-01-2017,15178.65039
16-01-2017,15239.34961
17-01-2017,15243.2998
18-01-2017,15329.65039
19-01-2017,15370.2002
20-01-2017,15117.15039
23-01-2017,15188.75
24-01-2017,15339.25
25-01-2017,15506.7998
27-01-2017,15641.34961
30-01-2017,15638.65039
31-01-2017,15413.7002
01-02-2017,15726.15039
02-02-2017,15831.5498
03-02-2017,16035.2002
06-02-2017,16174
07-02-2017,16101.7002
08-02-2017,16175.2998
09-02-2017,16246.34961
10-02-2017,16227.7002
13-02-2017,16131.2998
14-02-2017,16092
15-02-2017,15833.84961
16-02-2017,16095.7002
17-02-2017,16169.2998
20-02-2017,16349.9502
21-02-2017,16452.5
22-02-2017,16353.5
23-02-2017,16357.65039
27-02-2017,16377.40039
28-02-2017,16480.5
01-03-2017,16539.30078
02-03-2017,16289.09961
03-03-2017,16364.0498
06-03-2017,16464.5
07-03-2017,16469.75
08-03-2017,16362.7998
09-03-2017,16333.15039
10-03-2017,16291.2002
14-03-2017,16526.90039
15-03-2017,16663.80078
16-03-2017,16893.30078
17-03-2017,16901.69922
20-03-2017,16962.25
21-03-2017,16926.05078
22-03-2017,16721.80078
23-03-2017,16893.05078
24-03-2017,16936.09961
27-03-2017,16928.15039
28-03-2017,17034.30078
29-03-2017,17054.40039
30-03-2017,17110.30078
31-03-2017,17197.15039
03-04-2017,17332.90039
05-04-2017,17467.09961
06-04-2017,17469.30078
07-04-2017,17398.15039
10-04-2017,17472.09961
11-04-2017,17700.09961
12-04-2017,17595.40039
13-04-2017,17550.30078
17-04-2017,17629.90039
18-04-2017,17510.65039
19-04-2017,17636.09961
20-04-2017,17796.09961
21-04-2017,17800.34961
24-04-2017,17910.25
25-04-2017,18062.19922
26-04-2017,18022.59961
27-04-2017,18006.55078
28-04-2017,18086.44922
02-05-2017,18187.80078
03-05-2017,18126.19922
04-05-2017,18228.25
05-05-2017,18048.59961
08-05-2017,18162.84961
09-05-2017,18255.5
10-05-2017,18357
11-05-2017,18361.40039
12-05-2017,18240.40039
15-05-2017,18405.94922
16-05-2017,18498.30078
17-05-2017,18449.59961
18-05-2017,18030.25
19-05-2017,17921.34961
22-05-2017,17720.59961
23-05-2017,17424.84961
24-05-2017,17120.55078
25-05-2017,17345.34961
26-05-2017,17586.44922
29-05-2017,17225.94922
30-05-2017,17411.5
31-05-2017,17509.90039
01-06-2017,17618.05078
02-06-2017,17769.65039
05-06-2017,17828
06-06-2017,17733.65039
07-06-2017,17855.75
08-06-2017,17904.44922
09-06-2017,17993.90039
12-06-2017,17878.90039
13-06-2017,17881.5
14-06-2017,17931.59961
15-06-2017,17983.59961
16-06-2017,18002.55078
19-06-2017,17996.40039
20-06-2017,18016.05078
21-06-2017,18045.84961
22-06-2017,17907.90039
23-06-2017,17686.30078
27-06-2017,17455.59961
28-06-2017,17522.94922
29-06-2017,17601.30078
30-06-2017,17729.75
03-07-2017,17903.94922
04-07-2017,17866.90039
05-07-2017,18043.75
06-07-2017,18081.05078
07-07-2017,18104.19922
10-07-2017,18258.44922
11-07-2017,18098.69922
12-07-2017,18223.09961
13-07-2017,18277.15039
14-07-2017,18278.84961
17-07-2017,18311.09961
18-07-2017,18216.59961
19-07-2017,18344.19922
20-07-2017,18291.40039
21-07-2017,18262.19922
24-07-2017,18303.80078
25-07-2017,18377.34961
26-07-2017,18429.25
27-07-2017,18376.75
28-07-2017,18468.90039
31-07-2017,18514.59961
01-08-2017,18513.44922
02-08-2017,18517.94922
03-08-2017,18317.55078
04-08-2017,18365.25
07-08-2017,18570.44922
08-08-2017,18345.69922
09-08-2017,18040
10-08-2017,17462.84961
11-08-2017,17360.75
14-08-2017,17853.65039
16-08-2017,18088.69922
17-08-2017,18125.80078
18-08-2017,18044.5
21-08-2017,17781.55078
22-08-2017,17646.44922
23-08-2017,17856.65039
24-08-2017,17963.94922
28-08-2017,18159.65039
29-08-2017,17956.30078
30-08-2017,18211.40039
31-08-2017,18277.44922
01-09-2017,18505.25
04-09-2017,18367.5
05-09-2017,18557
06-09-2017,18563.30078
07-09-2017,18619.25
08-09-2017,18573.94922
11-09-2017,18734.84961
12-09-2017,18931.40039
13-09-2017,18821.69922
14-09-2017,18936.44922
15-09-2017,18951.94922
18-09-2017,19088.80078
19-09-2017,19098.30078
20-09-2017,19055.15039
21-09-2017,18934.65039
22-09-2017,18393.84961
25-09-2017,18151.44922
26-09-2017,18260.44922
27-09-2017,17840.80078
28-09-2017,17941.30078
29-09-2017,18107.94922
03-10-2017,18201.15039
04-10-2017,18262.59961
05-10-2017,18363
06-10-2017,18528.19922
09-10-2017,18524.25
10-10-2017,18678.65039
11-10-2017,18480.34961
12-10-2017,18683.30078
13-10-2017,18723.34961
16-10-2017,18779.09961
17-10-2017,18887.90039
18-10-2017,18867.5
19-10-2017,18789.90039
23-10-2017,18845
24-10-2017,18908.40039
25-10-2017,19212.09961
26-10-2017,19341.40039
27-10-2017,19341.19922
30-10-2017,19555.34961
31-10-2017,19578.40039
01-11-2017,19686.65039
02-11-2017,19728.5
03-11-2017,19778.75
06-11-2017,19807.80078
07-11-2017,19488.25
08-11-2017,19363.44922
09-11-2017,19594.80078
10-11-2017,19575.94922
13-11-2017,19483.44922
14-11-2017,19442.90039
15-11-2017,19230.09961
16-11-2017,19440.90039
17-11-2017,19642.59961
20-11-2017,19798.30078
21-11-2017,19830.30078
22-11-2017,19825.80078
23-11-2017,19884.19922
24-11-2017,19984.25
27-11-2017,20085.19922
28-11-2017,20098.34961
29-11-2017,20035.15039
30-11-2017,19895.15039
01-12-2017,19691.69922
04-12-2017,19750.19922
05-12-2017,19755.90039
06-12-2017,19551.94922
07-12-2017,19831.15039
08-12-2017,20014.75
11-12-2017,20120.59961
12-12-2017,19947
13-12-2017,19754.90039
14-12-2017,19760.59961
15-12-2017,19962.30078
18-12-2017,20129.80078
19-12-2017,20421.75
20-12-2017,20550.19922
21-12-2017,20771.5
22-12-2017,20834
